idx,ID,NAME,TEXT,Colère,Dégoût,Joie,Peur,Surprise,Tristesse,Admiration,Culpabilité,Embarras,Fierté,Jalousie,Autre,Comportementale,Désignée,Montrée,Suggérée,Base,Complexe,elongation,ironie,insulte,mépris / haine,argot,abréviation,interjection,ROLE,HATE,TARGET,VERBAL_ABUSE,INTENTION,CONTEXT,SENTIMENT,marker_type,marker_value,source_file
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,ça,racisme_annotations_gold_flat.xlsx
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,lui,racisme_annotations_gold_flat.xlsx
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,fera,racisme_annotations_gold_flat.xlsx
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,de,racisme_annotations_gold_flat.xlsx
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,l'argent,racisme_annotations_gold_flat.xlsx
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,pour,racisme_annotations_gold_flat.xlsx
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,une,racisme_annotations_gold_flat.xlsx
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,fois,racisme_annotations_gold_flat.xlsx
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,qu'elle,racisme_annotations_gold_flat.xlsx
0,0,<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,bully_support,CAG,victim,OTH,ATK,,NEG,word,en,racisme_annotations_gold_flat.xlsx
